url,expected_docs,notes
https://www.ausschreibungen.ls.brandenburg.de/NetServer/PublicationControllerServlet?function=Detail&TWOID=54321-Tender-19dd8f5cf0f-592e47d74c8f4cb2&PublicationType=0,1,Brandenburg NetServer - 1 Bekanntmachung PDF
https://www.vergabe.metropoleruhr.de/VMPSatellite/notice/CXPSYD4DGQ5,1,DTVP VMP - Vergabeunterlagen.zip
https://www.evergabe.de/auftraege/suche-ueber-vergabestellen/Gemeinde%2520Elsterheide/3378700,15,eVergabe.de 3-step flow - 15 documents
https://www.dtvp.de/Satellite/notice/CXS0YMKYTPW8XPBS,1,DTVP Satellite - Vergabeunterlagen.zip
https://www.evergabe.de/auftraege/suche-ueber-vergabestellen/Stadt%2520Haldenslebenzentrale%2520Vergabestelle/3375215,1,eVergabe.de 3-step flow - 1 document
